iter	Passed	Remaining
169	328	1603
170	329	1597
171	330	1592
172	331	1585
173	332	1580
174	333	1573
175	334	1568
176	335	1562
177	336	1555
178	337	1548
179	338	1542
180	340	1539
181	341	1533
182	342	1527
183	343	1524
184	345	1519
185	346	1514
186	347	1511
187	348	1506
188	349	1500
189	350	1494
190	351	1489
191	352	1483
192	353	1478
193	355	1474
194	356	1470
195	357	1465
196	358	1460
197	359	1455
198	360	1450
199	361	1446
200	362	1441
201	363	1436
202	364	1430
203	365	1425
204	366	1420
205	367	1415
206	368	1410
207	368	1404
208	370	1401
209	371	1397
210	373	1395
211	374	1390
212	375	1386
213	376	1382
214	377	1377
215	378	1373
216	379	1368
217	380	1363
218	381	1359
219	381	1354
220	382	1349
221	383	1344
222	384	1341
223	386	1338
224	387	1334
225	388	1330
226	389	1326
227	390	1321
228	391	1317
229	392	1313
230	393	1310
231	394	1306
232	395	1301
233	396	1298
234	397	1293
235	398	1289
236	399	1285
237	400	1282
238	401	1279
239	402	1275
240	403	1271
241	404	1267
242	405	1263
243	406	1259
244	407	1256
245	408	1252
246	409	1248
247	410	1244
248	411	1240
249	412	1236
250	413	1232
251	413	1228
252	415	1225
253	416	1222
254	417	1218
255	418	1214
256	418	1211
257	419	1207
258	420	1204
259	421	1200
260	422	1196
261	423	1192
262	424	1188
263	424	1184
264	425	1181
265	426	1177
266	427	1173
267	428	1169
268	429	1166
269	430	1164
270	431	1160
271	432	1157
272	433	1154
273	434	1150
274	435	1147
275	436	1144
276	437	1140
277	438	1137
278	439	1134
279	440	1131
280	441	1128
281	442	1125
282	443	1122
283	443	1119
284	445	1116
285	446	1114
286	447	1111
287	448	1108
288	449	1105
289	450	1102
290	451	1099
291	452	1097
292	453	1094
293	454	1091
294	455	1088
295	456	1084
296	457	1081
297	457	1078
298	458	1075
299	460	1073
300	461	1071
301	462	1069
302	463	1066
303	464	1064
304	465	1061
305	467	1059
306	468	1056
307	468	1053
308	470	1051
309	470	1048
310	471	1045
311	472	1042
312	473	1040
313	474	1037
314	475	1035
315	477	1032
316	477	1029
317	478	1026
318	479	1023
319	480	1020
320	481	1017
321	482	1015
322	483	1012
323	484	1010
324	485	1007
325	485	1004
326	487	1002
327	488	1000
328	489	997
329	490	995
330	491	993
331	492	991
332	493	988
333	494	986
334	495	983
335	496	981
336	497	979
337	498	976
338	499	973
339	500	971
340	501	968
341	502	966
342	503	963
343	504	961
344	505	960
345	506	957
346	507	955
347	508	952
348	509	950
349	510	948
350	511	945
351	512	942
352	512	940
353	513	937
354	514	935
355	515	932
356	516	930
357	517	927
358	518	925
359	519	923
360	520	921
361	521	919
362	522	916
363	523	914
364	524	912
365	525	910
366	526	908
367	527	906
368	528	904
369	529	901
370	530	899
371	531	897
372	532	894
373	533	892
374	534	890
375	535	888
376	536	886
377	537	884
378	538	882
379	539	880
380	540	877
381	541	875
382	541	873
383	542	870
384	543	868
385	544	866
386	545	863
387	546	861
388	547	859
389	548	857
390	548	855
391	550	853
392	551	851
393	552	849
394	553	847
395	554	845
396	555	843
397	556	841
398	556	838
399	557	836
400	558	834
401	559	832
402	560	830
403	561	828
404	562	826
405	563	824
406	564	821
407	565	820
408	566	818
409	567	816
410	568	814
411	569	812
412	570	810
413	571	808
414	572	806
415	572	803
416	573	802
417	574	800
418	575	798
419	576	796
420	577	794
421	578	791
422	579	789
423	580	787
424	581	786
425	581	784
426	582	782
427	583	780
428	584	778
429	585	775
430	586	773
431	587	771
432	587	769
433	588	767
434	589	765
435	590	763
436	591	761
437	592	760
438	593	758
439	594	756
440	595	754
441	596	752
442	597	750
443	598	749
444	599	747
445	600	745
446	601	743
447	601	741
448	602	739
449	603	737
450	604	735
451	605	733
452	606	731
453	607	730
454	607	728
455	608	726
456	609	724
457	611	723
458	612	721
459	613	719
460	613	717
461	614	716
462	615	714
463	616	712
464	617	710
465	618	708
466	619	706
467	619	704
468	620	702
469	621	701
470	622	699
471	623	697
472	624	695
473	625	694
474	626	692
475	627	691
476	628	689
477	629	687
478	630	685
479	631	684
480	632	682
481	633	680
482	634	678
483	635	677
484	636	675
485	637	673
486	637	671
487	638	670
488	639	668
489	641	667
490	642	665
491	643	664
492	643	662
493	644	660
494	646	659
495	646	657
496	647	655
497	648	653
498	649	652
499	650	650
500	651	648
501	652	646
502	652	645
503	653	643
504	654	641
505	656	640
506	657	639
507	658	637
508	659	635
509	660	634
510	660	632
511	662	631
512	663	629
513	663	627
514	664	626
515	665	624
516	666	622
517	667	621
518	668	619
519	669	617
520	670	616
521	671	615
522	672	613
523	673	611
524	674	610
525	675	608
526	676	606
527	677	605
528	678	603
529	679	602
530	680	600
531	681	599
532	681	597
533	682	595
534	683	593
535	684	592
536	685	590
537	686	589
538	687	587
539	688	586
540	689	584
541	690	583
542	690	581
543	691	579
544	692	578
545	693	576
546	694	575
547	695	573
548	695	571
549	696	570
550	697	568
551	698	566
552	699	565
553	700	563
554	701	562
555	702	560
556	703	559
557	704	557
558	704	556
559	705	554
560	706	552
561	707	551
562	708	549
563	709	548
564	710	546
565	711	545
566	712	543
567	713	542
568	713	540
569	714	539
570	715	537
571	717	536
572	718	535
573	719	533
574	720	532
575	720	530
576	721	529
577	722	527
578	723	526
579	724	524
580	725	522
581	725	521
582	726	519
583	727	518
584	728	516
585	729	515
586	730	513
587	731	512
588	732	511
589	733	509
590	734	508
591	735	506
592	736	505
593	742	507
594	742	505
595	743	504
596	744	502
597	745	501
598	747	500
599	748	499
600	749	497
601	750	496
602	751	494
603	752	493
604	753	491
605	754	490
606	755	488
607	756	487
608	757	486
609	757	484
610	758	482
611	759	481
612	760	479
613	760	478
614	762	477
615	763	475
616	764	474
617	765	473
618	766	471
619	767	470
620	768	468
621	769	467
622	770	466
623	770	464
624	771	463
625	772	461
626	773	460
627	774	458
628	775	457
629	776	455
630	777	454
631	778	453
632	779	451
633	780	450
634	781	449
635	782	447
636	783	446
637	784	445
638	785	443
639	786	442
640	787	440
641	788	439
642	789	438
643	789	436
644	790	435
645	791	433
646	792	432
647	793	431
648	794	429
649	795	428
650	796	427
651	797	425
652	798	424
653	799	423
654	800	421
655	801	420
656	802	419
657	803	417
658	804	416
659	805	414
660	806	413
661	807	412
662	809	411
663	810	410
664	811	408
665	812	407
666	813	406
667	814	404
668	815	403
669	816	402
670	817	400
671	818	399
672	819	398
673	820	397
674	822	395
675	823	394
676	825	393
677	826	392
678	827	391
679	828	389
680	829	388
681	831	387
682	832	386
683	833	384
684	834	383
685	835	382
686	836	381
687	837	379
688	838	378
689	840	377
690	841	376
691	842	375
692	843	373
693	845	372
694	846	371
695	847	370
696	848	368
697	849	367
698	850	366
699	851	364
700	852	363
701	853	362
702	854	361
703	855	359
704	856	358
705	869	362
706	870	360
707	871	359
708	873	358
709	874	357
710	875	355
711	876	354
712	877	353
713	878	352
714	879	350
715	880	349
716	881	347
717	882	346
718	883	345
719	885	344
720	886	343
721	887	341
722	888	340
723	889	339
724	890	337
725	891	336
726	892	335
727	893	333
728	894	332
729	895	331
730	896	330
731	897	328
732	899	327
733	900	326
734	901	325
735	902	323
736	903	322
737	904	321
738	905	319
739	906	318
740	907	317
741	908	315
742	909	314
743	910	313
744	911	311
745	912	310
746	913	309
747	914	308
748	915	306
749	916	305
750	917	304
751	918	302
752	919	301
753	920	300
754	921	298
755	922	297
756	923	296
757	924	294
758	924	293
759	925	292
760	926	291
761	927	289
762	928	288
763	929	287
764	930	285
765	931	284
766	932	283
767	933	281
768	934	280
769	935	279
770	936	278
771	937	276
772	938	275
773	939	274
774	940	273
775	941	271
776	942	270
777	943	269
778	944	268
779	945	266
780	946	265
781	947	264
782	948	262
783	949	261
784	950	260
785	951	258
786	952	257
787	953	256
788	953	255
789	954	253
790	955	252
791	956	251
792	957	249
793	958	248
794	959	247
795	960	246
796	961	244
797	962	243
798	963	242
799	964	241
800	964	239
801	965	238
802	966	237
803	967	235
804	968	234
805	969	233
806	970	232
807	971	230
808	972	229
809	973	228
810	974	227
811	975	225
812	976	224
813	977	223
814	978	222
815	979	220
816	980	219
817	981	218
818	982	217
819	983	215
820	984	214
821	984	213
822	985	211
823	986	210
824	987	209
825	989	208
826	990	207
827	991	205
828	992	204
829	993	203
830	994	202
831	995	200
832	996	199
833	996	198
834	997	197
835	998	195
836	999	194
837	1000	193
838	1001	192
839	1002	190
840	1003	189
841	1004	188
842	1005	187
843	1005	185
844	1006	184
845	1007	183
846	1008	182
847	1009	181
848	1010	179
849	1011	178
850	1012	177
851	1013	176
852	1014	174
853	1015	173
854	1016	172
855	1017	171
856	1018	169
857	1019	168
858	1020	167
859	1021	166
860	1022	165
861	1023	163
862	1024	162
863	1025	161
864	1026	160
865	1027	158
866	1028	157
867	1029	156
868	1030	155
869	1031	154
870	1032	152
871	1033	151
872	1034	150
873	1035	149
874	1036	148
875	1037	146
876	1038	145
877	1039	144
878	1040	143
879	1041	142
880	1042	140
881	1043	139
882	1044	138
883	1045	137
884	1046	135
885	1047	134
886	1048	133
887	1050	132
888	1051	131
889	1052	130
890	1053	128
891	1054	127
892	1055	126
893	1056	125
894	1058	124
895	1059	122
896	1060	121
897	1061	120
898	1062	119
899	1063	118
900	1065	117
901	1066	115
902	1067	114
903	1068	113
904	1070	112
905	1071	111
906	1072	109
907	1072	108
908	1073	107
909	1074	106
910	1075	105
911	1076	103
912	1077	102
913	1078	101
914	1080	100
915	1081	99
916	1082	97
917	1083	96
918	1084	95
919	1084	94
920	1085	93
921	1086	91
922	1087	90
923	1088	89
924	1089	88
925	1091	87
926	1092	86
927	1093	84
928	1094	83
929	1096	82
930	1097	81
931	1098	80
932	1099	78
933	1100	77
934	1101	76
935	1102	75
936	1104	74
937	1105	73
938	1107	71
939	1108	70
940	1109	69
941	1110	68
942	1111	67
943	1112	66
944	1114	64
945	1114	63
946	1115	62
947	1116	61
948	1117	60
949	1119	58
950	1120	57
951	1121	56
952	1122	55
953	1123	54
954	1124	53
955	1126	51
956	1126	50
957	1127	49
958	1129	48
959	1130	47
960	1131	45
961	1132	44
962	1133	43
963	1134	42
964	1136	41
965	1137	40
966	1138	38
967	1139	37
968	1140	36
969	1141	35
970	1142	34
971	1143	32
972	1144	31
973	1145	30
974	1146	29
975	1147	28
976	1148	27
977	1149	25
978	1150	24
979	1151	23
980	1152	22
981	1153	21
982	1154	19
983	1155	18
984	1157	17
985	1158	16
986	1159	15
987	1160	14
988	1161	12
989	1163	11
990	1164	10
991	1165	9
992	1166	8
993	1167	7
994	1168	5
995	1169	4
996	1170	3
997	1171	2
998	1172	1
999	1173	0
